Nom,Adresse,Téléphone,Avis,Note,equipement
citizenM Paris Champs-Elysees,"128 rue la Boetie, 75008 Paris France",Non disponible,236,"4,5","Internet haut débit gratuit (Wi-Fi)Bar/loungeSéjour gratuit pour les enfantsCentre d'affaires avec accès InternetPhotocopieur/fax dans le centre d'affairesConsigneHôtel non-fumeurRéception 24 heures sur 24Wi-FiCaféRestaurantPetit-déjeuner disponiblePetit déjeuner buffetMenus spéciauxBar sur le toitMobilier d'extérieurSalle de bain communeSalon commun/espace TVArrivée/départ expressArrivée/départ privéService de blanchisserieService de repassage, Chambre hypoallergéniqueRideaux occultantsClimatisationBureauService de ménageTV par câble/satelliteLits extra longsBaignoire/doucheCoffre-fortTéléphoneEau en bouteilleFer à repasserCoffre pour ordinateur portableSalles de bain privativesTélévision à écran platRadioStation d'accueil pour iPodProduits de toilette gratuitsSèche-cheveux, Chambres non-fumeurs"
Hotel Piapia,"14 rue des Maraichers, 75020 Paris France",Non disponible,442,"4,5","Parking privé payant à proximitéInternet haut débit gratuit (Wi-Fi)Petit-déjeuner inclusSalle de jeuxService de taxiCentre d'affaires avec accès InternetSécurité 24 heures sur 24ConsigneParking sécuriséWi-FiBar/loungeCaféPetit-déjeuner disponiblePetit déjeuner buffetPetit-déjeuner dans la chambreConciergePresse quotidienneHôtel non-fumeurArrivée 24 heures sur 24Réception 24 heures sur 24Arrivée/départ express, Chambres insonoriséesClimatisationService de ménageService en chambreCoffre-fortÉquipements de chambre VIPMinibarTélévision à écran platFer à repasserService de réveil/réveil-matin, Chambres non-fumeurs"
Hotel Marceau Champs Elysees,"37 avenue Marceau, 75116 Paris France",01 75 85 84 57,598,"4,5","Internet haut débit gratuit (Wi-Fi)Petit déjeuner buffetSécurité 24 heures sur 24ConciergeArrivée 24 heures sur 24Réception 24 heures sur 24Nettoyage à secService de blanchisserieWi-FiHôtel non-fumeur, Rideaux occultantsChambres insonoriséesClimatisationBureauService de ménageMinibarTélévision à écran platBaignoire/doucheCoffre-fortSalles de bain privativesSèche-cheveux, Chambres non-fumeurs"
Hotel Passy Eiffel,"10 rue de Passy, 75016 Paris France",01 86 76 10 66,1172,"4,5","Parking public payant à proximitéInternet haut débit gratuit (Wi-Fi)Petit déjeuner buffetChaises hautes disponiblesService de taxiSécurité 24 heures sur 24ConsigneRéception 24 heures sur 24Wi-FiPetit-déjeuner dans la chambreConciergePresse quotidienneHôtel non-fumeurNettoyage à secService de blanchisserie, Rideaux occultantsChambres insonoriséesClimatisationBureauService de ménageMinibarTV par câble/satelliteBaignoire/doucheChambres communicantes disponiblesCoffre-fortTéléphonePenderie/armoirePenderieCoffre pour ordinateur portableSalles de bain privativesService de réveil/réveil-matinBouilloire électriqueTélévision à écran platProduits de toilette gratuitsSèche-cheveux, Vue sur la villeChambres non-fumeursSuites"
Grand Hotel du Palais Royal,"4 Rue de Valois, 75001 Paris France",Non disponible,1462,"5,0","Service de voiturierInternet haut débit gratuit (Wi-Fi)Centre de remise en forme/Salle de sportBar/loungeLocation de vélosChaînes de télévision pour enfantsChaises hautes disponiblesAnimaux domestiques autorisés (Chien/Animaux de compagnie)Parking privé payant à proximitéWi-FiVestiaires du spa/centre de remise en formeEntraîneur personnelCaféRestaurantPetit-déjeuner disponiblePetit déjeuner buffetPetit-déjeuner dans la chambreCafé soluble gratuitThé offertBoisson de bienvenue offerteHappy HourMenus pour les enfantsSalle à manger extérieureMenus spéciauxVin/champagnePoussettesService de taxiSalles de réunionSpaMassage en coupleSoins du visageMassage des piedsMassage corporel completHammamMassage des mainsMassage de la têteServices de maquillageManucureMassagePédicureSalonServices d'épilationSécurité 24 heures sur 24ConsigneConciergeChange des devisesBoutique de cadeauxPresse quotidienneHôtel non-fumeurMobilier d'extérieurPortierTrousse de premiers soinsArrivée 24 heures sur 24Réception 24 heures sur 24Arrivée/départ expressNettoyage à secService de blanchisserieService de repassageCirage, Chambre hypoallergéniqueRideaux occultantsClimatisationService de ménageCafetière/théièreTV par câble/satelliteCanapé-litDouche à l'italienneChambres insonoriséesPeignoirsChambres communicantes disponiblesBalcon privéService en chambreCoffre-fortTéléphonePenderie/armoireEau en bouteillePenderieFer à repasserCoffre pour ordinateur portableSalles de bain privativesService de réveil/réveil-matinMinibarBouilloire électriqueTélévision à écran platBaignoire/doucheProduits de toilette gratuitsSèche-cheveux, Vue sur la villeVue sur un monumentSuite nuptialeChambres non-fumeursSuitesChambres familialesChambres fumeurs disponibles"
Citadines Tour Eiffel Paris,"132, boulevard de Grenelle 15th Arr., 75015 Paris France",Non disponible,467,"4,0","Parking privé payant sur siteInternet haut débit gratuit (Wi-Fi)Petit-déjeuner disponibleBabysittingAnimaux domestiques autorisés (Chien/Animaux de compagnie)Service de taxiCentre d'affaires avec accès InternetConsigneGarageWi-FiPetit déjeuner buffetDistributeur automatiqueConciergeHôtel non-fumeurSalon commun/espace TVRéception 24 heures sur 24Nettoyage à secService de blanchisserieBlanchisserie en libre-serviceService de repassage, Rideaux occultantsChambres insonoriséesClimatisationService de ménageCoffre-fortCafetière/théièreTélévision à écran platBaignoire/doucheTéléphoneFer à repasserSalles de bain privativesService de réveil/réveil-matinKitchenetteLave-vaisselleMicro-ondesRéfrigérateurUstensiles de cuisineProduits de toilette gratuitsSèche-cheveux, Chambres non-fumeursSuites"
Hotel Europe Saint Severin,"38 rue Saint Severin, 75005 Paris France",Non disponible,2925,"4,5","Internet haut débit gratuit (Wi-Fi)RestaurantService de taxiSécurité 24 heures sur 24ConsigneArrivée 24 heures sur 24Réception 24 heures sur 24Nettoyage à secWi-FiPetit déjeuner buffetCafé soluble gratuitConciergePresse quotidienneHôtel non-fumeurArrivée/départ expressService de blanchisserie, Rideaux occultantsClimatisationBureauBalcon privéCoffre-fortMinibarTélévision à écran platBain à remousCoin salonRéfrigérateurBaignoire/doucheProduits de toilette gratuitsSèche-cheveux, Chambres non-fumeursSuites"
Pullman Paris Eiffel Tower Hotel,"18 Avenue de Suffren, 75015 Paris France",01 86 76 09 60,3914,"4,0","Parking dans la rueInternet haut débit gratuit (Wi-Fi)Centre de remise en forme/Salle de sportBar/loungeService de taxiCentre d'affaires avec accès InternetSalles de conférenceSécurité 24 heures sur 24Wi-FiRestaurantPetit-déjeuner disponiblePetit déjeuner buffetPetit-déjeuner dans la chambreCafé soluble gratuitSalle de réceptionSalles de réunionConsigneConciergeHôtel non-fumeurRéception 24 heures sur 24Arrivée/départ expressNettoyage à secService de blanchisserieService de repassage, PeignoirsClimatisationBureauService de ménageBalcon privéCafetière/théièreTélévision à écran platProduits de toilette gratuitsService en chambreCoffre-fortTéléphonePenderieFer à repasserCoffre pour ordinateur portableService de réveil/réveil-matinMinibarRéfrigérateurFilms à la demandeSèche-cheveux, Suite nuptialeChambres non-fumeursSuitesChambres familiales"
Hotel du Parc Montsouris,"4 rue du Parc de Montsouris, 75014 Paris France",01 86 47 25 72,292,"3,5","Internet haut débit gratuit (Wi-Fi)Wi-FiBar/loungeCaféPresse quotidienneHôtel non-fumeurRéception 24 heures sur 24Service de blanchisseriePetit-déjeuner disponiblePetit déjeuner buffetDistributeur automatique, TéléphoneService de réveil/réveil-matinTélévision à écran platProduits de toilette gratuitsSèche-cheveux, Chambres non-fumeursChambres familiales"
Campanile Paris 19 - La Villette,"147/151 Avenue de Flandre, 75019 Paris France",Non disponible,1947,"4,0","Parking privé payant sur siteInternet haut débit gratuit (Wi-Fi)Bar/loungeKaraokéChaînes de télévision pour enfantsAnimaux domestiques autorisés (Chien/Animaux de compagnie)Service de taxiSalles de conférenceGarageWi-FiRestaurantPetit-déjeuner disponiblePetit déjeuner buffetMenus pour les enfantsSnack-barVin/champagneSalle de réceptionSalles de réunionSécurité 24 heures sur 24ConsigneHôtel non-fumeurSalon commun/espace TVTrousse de premiers soinsArrivée 24 heures sur 24Réception 24 heures sur 24, Rideaux occultantsClimatisationService de ménageTéléphoneFer à repasserBouilloire électriqueTélévision à écran platDouche à l'italienneService de réveil/réveil-matinBaignoire/doucheSèche-cheveux, Vue sur la villeChambres non-fumeursChambres familiales"
Hotel Aida Opera,"11 rue Richer 17 Rue Du Conservatoire, 75009 Paris France",Non disponible,407,"4,0","Parking privé payant à proximitéInternet haut débit gratuit (Wi-Fi)Centre de remise en forme/Salle de sportPetit-déjeuner disponibleNavette aéroportSécurité 24 heures sur 24ConsigneArrivée 24 heures sur 24Wi-FiPetit déjeuner buffetPetit-déjeuner dans la chambreSnack-barVin/champagneDistributeur automatiqueConciergeHôtel non-fumeurRéception 24 heures sur 24Nettoyage à secService de blanchisserieService de repassage, Rideaux occultantsClimatisationBureauService de ménageChambres communicantes disponiblesTélévision à écran platDouche à l'italienneProduits de toilette gratuitsService en chambreCoffre-fortTéléphonePenderie/armoireFer à repasserSalles de bain privativesService de réveil/réveil-matinSèche-cheveux, Vue sur la villeChambres non-fumeursSuitesChambres familiales"
Chouette Hôtel,"237 Rue de la Convention, 75015 Paris France",Non disponible,1096,"4,5","ParkingInternet haut débit gratuit (Wi-Fi)Petit-déjeuner disponibleBabysittingChaînes de télévision pour enfantsAnimaux domestiques autorisés (Chien/Animaux de compagnie)Service de taxiSécurité 24 heures sur 24Wi-FiPetit déjeuner buffetConsigneConciergePresse quotidienneHôtel non-fumeurArrivée 24 heures sur 24Réception 24 heures sur 24, Rideaux occultantsClimatisationTélévision à écran plat, Chambres non-fumeursSuites"
Sonder l L'Edmond Parc Monceau,"22 avenue de Villiers, 75017 Paris France",01 86 76 09 80,562,"4,5","Parking public payant à proximitéInternet haut débit gratuit (Wi-Fi)Wi-FiBar/loungePetit-déjeuner disponibleSalles de réunionConciergeArrivée/départ express, BureauSalles de bain privativesKitchenetteLave-vaisselleCuisinièreTV par câble/satelliteTélévision à écran platSèche-cheveuxBouilloire électrique, Chambres non-fumeurs"
Hotel Darcet,"4 rue Darcet 17 Arr., 75017 Paris France",Non disponible,1118,"4,5","Parking public payant à proximitéInternet haut débit gratuit (Wi-Fi)CaféService de taxiConsigneConciergeArrivée 24 heures sur 24Réception 24 heures sur 24Wi-FiDistributeur automatiqueHôtel non-fumeurSalon commun/espace TVArrivée/départ expressArrivée/départ privé, Rideaux occultantsClimatisationBureauService de ménageCoffre-fortTélévision à écran platBaignoire/doucheSèche-cheveuxTéléphoneCoffre pour ordinateur portable, Chambres non-fumeursChambres familiales"
Hôtel Duette Paris,"64 Rue De Lévis, 75017 Paris France",01 42 27 33 10,573,"4,5","Parking public payant à proximitéInternet haut débit gratuit (Wi-Fi)Petit déjeuner buffetNavette aéroportSécurité 24 heures sur 24ConsigneArrivée 24 heures sur 24Réception 24 heures sur 24Wi-FiService de taxiConciergeHôtel non-fumeurArrivée/départ expressArrivée/départ privéService de blanchisserie, Rideaux occultantsChambres insonoriséesClimatisationBureauService de ménageCoffre-fortTélévision à écran platBaignoire/doucheTéléphonePenderieCoffre pour ordinateur portableService de réveil/réveil-matinProduits de toilette gratuitsSèche-cheveux, Chambres non-fumeursSuites"
The People - Paris Belleville,"59 Boulevard De Belleville, 75011 Paris France",Non disponible,636,"4,5","Internet haut débit gratuit (Wi-Fi)Bar/loungeSalle de jeuxPersonnel en charge du divertissementTerrasse sur le toitSécurité 24 heures sur 24Arrivée 24 heures sur 24Réception 24 heures sur 24Wi-FiSnack-barDivertissements le soirJeux de société/puzzlesConsigneHôtel non-fumeurSalle de bain communeSalon commun/espace TVBalcon ensoleillé, Coffre-fort, Chambres non-fumeurs"
Hôtel  Mayfair Paris,"3 Rue Rouget de Lisle, 75001 Paris France",Non disponible,835,"4,5","ParkingInternet haut débit gratuit (Wi-Fi)Bar/loungeAnimaux domestiques autorisés (Chien/Animaux de compagnie)Navette aéroportCentre d'affaires avec accès InternetSalles de réunionSpaWi-FiPetit-déjeuner disponiblePetit déjeuner buffetCafé soluble gratuitService de taxiConsigneConciergePresse quotidienneHôtel non-fumeurRéception 24 heures sur 24Nettoyage à secService de blanchisserieService de repassage, ClimatisationService de ménageService en chambreCoffre-fortService de réveil/réveil-matinMinibarTélévision à écran plat, Chambres non-fumeursSuitesChambres familiales"
Le 55 Montparnasse Hotel,"55 rue de Plaisance, 75014 Paris France",Non disponible,726,"4,0","Parking public payant à proximitéInternet haut débit gratuit (Wi-Fi)CaféConsigneHôtel non-fumeurArrivée 24 heures sur 24Réception 24 heures sur 24Nettoyage à secParking sécuriséWi-FiPetit déjeuner buffetDistributeur automatique, ClimatisationBureauService de ménageTéléphoneTélévision à écran platLits extra longsBaignoire/doucheProduits de toilette gratuitsPenderie/armoireFer à repasserSalles de bain privativesService de réveil/réveil-matinSèche-cheveux, Chambres non-fumeursChambres familiales"
St Christopher's Inn Canal Paris,"159 Rue Crimee 68-74 Quai de la Seine, 75019 Paris France",Non disponible,1417,"4,0","Internet haut débit gratuit (Wi-Fi)Bar/loungePersonnel en charge du divertissementDivertissements le soirSécurité 24 heures sur 24ConsigneArrivée 24 heures sur 24Réception 24 heures sur 24Wi-FiCaféRestaurantPetit-déjeuner disponiblePetit déjeuner buffetHappy HourSnack-barMenus spéciauxDistributeur automatiqueJeux de société/puzzlesDiscothèque/DJHôtel non-fumeurSalle de bain communeSalon commun/espace TVArrivée/départ expressService de blanchisserieBlanchisserie en libre-service, BureauCoffre-fortSalles de bain privativesBouilloire électrique, Vue sur la villeChambres non-fumeurs"
St Christopher's Gare du Nord Paris,"5, rue de Dunkerque, 75010 Paris France",Non disponible,1823,"4,0","Parking public payant à proximitéInternet haut débit gratuit (Wi-Fi)Bar/loungeBillardDivertissements le soirSécurité 24 heures sur 24ConsigneArrivée 24 heures sur 24Wi-FiCaféRestaurantPetit-déjeuner disponiblePetit déjeuner buffetSnack-barDistributeur automatiqueDiscothèque/DJHôtel non-fumeurSalle de bain communeSalon commun/espace TVRéception 24 heures sur 24Arrivée/départ expressService de blanchisserieBlanchisserie en libre-service, Coffre-fort, Chambres non-fumeurs"
Amiral Hotel,"98 Avenue d Italie 13th Arr., 75013 Paris France",Non disponible,333,"3,5","ParkingInternet haut débit gratuit (Wi-Fi)PiscineBar/loungeBabysittingAnimaux domestiques autorisés (Chien/Animaux de compagnie)Centre d'affaires avec accès InternetSalles de conférenceWi-FiPiscine intérieurePiscine chaufféePetit déjeuner buffetDistributeur automatiqueSalle de réceptionSalles de réunionConsigneRéception 24 heures sur 24Arrivée/départ expressNettoyage à secService de blanchisserie, PeignoirsBureauService de ménageCoffre-fortTélévision à écran platBaignoire/doucheSèche-cheveux, Chambres non-fumeursSuites"
